,0,1,2,3,4,5,6,7,8,9,10,11
346,RIC_2,ROA_3,RIC_4,CHO_5,RIC_6,CHO_7,RIC_8,ROA_9,RIC_10,,,
347,ROA_3,RIC_4,CHO_5,,,,,,,,,
348,RIC_7,GSP_8,,,,,,,,,,
349,CAE_8,CHS_9,,,,,,,,,,
350,CAE_9,CHS_10,CAE_11,CHS_12,,,,,,,,
351,CHS_4,CAE_5,CHS_6,CAE_7,CHS_8,,,,,,,
352,CHO_10,ROA_11,CHO_12,,,,,,,,,
353,RIC_4,CHO_5,RIC_6,ROA_7,RIC_8,CHO_9,ROA_10,RIC_11,,,,
354,CHS_10,CAE_11,CHS_12,,,,,,,,,
355,CHS_10,CAE_11,CHS_12,,,,,,,,,
356,CHS_3,GSP_4,CHS_5,GSP_6,CHS_7,CAE_8,,,,,,
357,CAE_5,CHS_6,CAE_7,CHS_8,CAE_9,CHS_10,,,,,,
358,ROA_9,RIC_10,CHO_11,RIC_12,CHO_13,,,,,,,
359,CHS_10,CAE_11,,,,,,,,,,
360,CHO_10,ROA_11,RIC_12,CHS_13,,,,,,,,
361,ROA_7,RIC_8,CHO_9,,,,,,,,,
362,CHS_9,CAE_10,CHS_11,CAE_12,CHS_13,,,,,,,
363,CHS_6,CAE_7,CHS_8,CAE_9,CHS_10,CAE_11,CHS_12,CAE_13,,,,
364,CAE_2,CHS_3,GSP_4,CHS_5,CAE_6,CHS_7,CAE_8,CHS_9,CAE_10,,,
365,CHS_5,CAE_6,CHS_7,GSP_8,CHS_9,,,,,,,
366,GSP_8,CHS_9,CAE_10,CHS_11,GSP_12,,,,,,,
367,ROA_4,RIC_5,ROA_6,RIC_7,CHO_8,RIC_9,ROA_10,,,,,
368,RIC_8,ROA_9,RIC_10,ROA_11,RIC_12,,,,,,,
369,CAE_8,CHS_9,CAE_10,CHS_11,,,,,,,,
370,CHS_4,CAE_5,CHS_6,CAE_7,CHS_8,GSP_9,CHS_10,CAE_11,CHS_12,CAE_13,,
371,RIC_6,CHO_7,RIC_8,ROA_9,RIC_10,CHO_11,ROA_12,,,,,
372,CHO_8,RIC_9,ROA_10,RIC_11,CHO_12,,,,,,,
373,ROA_5,RIC_6,CHO_7,RIC_8,CHO_9,RIC_10,CHO_11,RIC_12,,,,
374,ROA_7,RIC_8,ROA_9,RIC_10,CHO_11,RIC_12,,,,,,
375,CAE_10,CHS_11,CAE_12,CHS_13,,,,,,,,
376,RIC_3,MYR_4,RIC_5,CHO_6,RIC_7,ROA_8,RIC_9,,,,,
377,RIC_9,ROA_10,RIC_11,ROA_12,RIC_13,,,,,,,
378,CHO_7,RIC_8,ROA_9,RIC_10,ROA_11,RIC_12,ROA_13,,,,,
379,CAE_9,CHS_10,,,,,,,,,,
380,CAE_5,CHS_6,GSP_7,CHS_8,GSP_9,CHS_10,CAE_11,CHS_12,,,,
381,CHS_9,CAE_10,,,,,,,,,,
382,CHS_6,CAE_7,CHS_8,CAE_9,CHS_10,CAE_11,,,,,,
383,GSP_10,CHS_11,CAE_12,CHS_13,,,,,,,,
384,ROA_9,RIC_10,CHO_11,,,,,,,,,
385,CHS_8,CAE_9,CHS_10,CAE_11,,,,,,,,
386,CAE_5,CHS_6,,,,,,,,,,
387,CAE_7,CHS_8,,,,,,,,,,
388,CHS_7,CAE_8,CHS_9,CAE_10,CHS_11,CAE_12,CHS_13,,,,,
389,CAE_8,CHS_9,CAE_10,CHS_11,,,,,,,,
390,ROA_10,RIC_11,CHO_12,,,,,,,,,
391,CAE_10,CHS_11,,,,,,,,,,
392,GSP_3,CHS_4,CAE_5,CHS_6,CAE_7,CHS_8,CAE_9,CHS_10,CAE_11,CHS_12,CAE_13,
393,RIC_7,ROA_8,RIC_9,,,,,,,,,
394,CHS_6,CAE_7,CHS_8,CAE_9,CHS_10,CAE_11,,,,,,
395,CHO_2,RIC_3,MYR_4,RIC_5,ROA_6,RIC_7,CHO_8,,,,,
396,GSP_7,CHS_8,CAE_9,CHS_10,CAE_11,,,,,,,
397,CAE_6,CHS_7,GSP_8,CHS_9,CAE_10,CHS_11,GSP_12,CHS_13,,,,
398,CHS_10,CAE_11,,,,,,,,,,
399,CAE_3,CHS_4,,,,,,,,,,
400,CAE_9,CHS_10,CAE_11,,,,,,,,,
401,RIC_10,ROA_11,RIC_12,ROA_13,,,,,,,,
402,RIC_8,ROA_9,RIC_10,ROA_11,,,,,,,,
403,MYR_4,RIC_5,CHO_6,RIC_7,ROA_8,RIC_9,ROA_10,RIC_11,ROA_12,,,
404,RIC_2,CHO_3,RIC_4,MYR_5,RIC_6,ROA_7,RIC_8,ROA_9,RIC_10,ROA_11,RIC_12,
405,RIC_3,ROA_4,RIC_5,CHO_6,ROA_7,,,,,,,
406,CHS_6,CAE_7,CHS_8,,,,,,,,,
407,CHO_9,RIC_10,,,,,,,,,,
408,ROA_4,RIC_5,ROA_6,RIC_7,ROA_8,RIC_9,ROA_10,RIC_11,,,,
409,CHS_5,GSP_6,CHS_7,GSP_8,CHS_9,CAE_10,CHS_11,CAE_12,,,,
410,CHS_10,CAE_11,,,,,,,,,,
411,RIC_2,ROA_3,CHO_4,RIC_5,ROA_6,RIC_7,ROA_8,RIC_9,ROA_10,RIC_11,ROA_12,
412,CAE_4,CHS_5,GSP_6,CHS_7,MYR_8,,,,,,,
413,CAE_10,CHS_11,CAE_12,,,,,,,,,
414,CAE_10,CHS_11,,,,,,,,,,
415,RIC_4,MYR_5,RIC_6,CHO_7,RIC_8,ROA_9,,,,,,
416,ROA_5,RIC_6,CHO_7,RIC_8,ROA_9,RIC_10,,,,,,
417,CAE_10,CHS_11,,,,,,,,,,
418,ROA_2,CHO_3,RIC_4,MYR_5,RIC_6,,,,,,,
419,CAE_10,CHS_11,CAE_12,,,,,,,,,
420,CHS_7,GSP_8,,,,,,,,,,
421,GSP_8,CHS_9,CAE_10,CHS_11,CAE_12,CHS_13,,,,,,
422,CAE_9,CHS_10,CAE_11,CHS_12,,,,,,,,
423,GSP_3,CHS_4,GSP_5,CHS_6,CAE_7,CHS_8,GSP_9,CHS_10,,,,
424,CHS_3,GSP_4,CHS_5,CAE_6,CHS_7,,,,,,,
425,CHS_7,MYR_8,CAE_9,CHS_10,CAE_11,,,,,,,
426,GSP_5,CHS_6,GSP_7,CHS_8,CAE_9,CHS_10,CAE_11,CHS_12,,,,
427,GSP_10,CHS_11,,,,,,,,,,
428,ROA_9,RIC_10,,,,,,,,,,
429,CHS_10,GSP_11,,,,,,,,,,
430,CHS_5,GSP_6,,,,,,,,,,
431,CHS_5,CAE_6,CHS_7,CAE_8,GSP_9,CHS_10,CAE_11,CHS_12,,,,
432,GSP_6,CHS_7,GSP_8,,,,,,,,,
433,ROA_5,RIC_6,CHO_7,RIC_8,CHO_9,,,,,,,
434,CHO_10,ROA_11,RIC_12,,,,,,,,,
435,CAE_5,CHS_6,CAE_7,CHS_8,CAE_9,CHS_10,,,,,,
436,CAE_10,CHS_11,CAE_12,,,,,,,,,
437,RIC_10,ROA_11,,,,,,,,,,
438,CHS_5,CAE_6,,,,,,,,,,
439,RIC_6,CHO_7,ROA_8,RIC_9,CHO_10,RIC_11,,,,,,
440,CHO_8,ROA_9,CHO_10,RIC_11,,,,,,,,
441,ROA_10,RIC_11,ROA_12,RIC_13,,,,,,,,
442,ROA_5,RIC_6,ROA_7,,,,,,,,,
443,CHO_3,RIC_4,MYR_5,RIC_6,CHO_7,,,,,,,
444,ROA_6,CHO_7,ROA_8,RIC_9,ROA_10,RIC_11,ROA_12,RIC_13,,,,
445,CHS_6,CAE_7,CHS_8,CAE_9,,,,,,,,
446,CHS_5,CAE_6,CHS_7,GSP_8,CHS_9,CAE_10,CHS_11,,,,,
447,CHS_5,GSP_6,CHS_7,CAE_8,CHS_9,CAE_10,CHS_11,CAE_12,CHS_13,,,
448,RIC_10,CHO_11,,,,,,,,,,
449,ROA_9,RIC_10,,,,,,,,,,
450,CAE_6,CHS_7,MYR_8,,,,,,,,,
